,AID,Format,Valid,Fulltext_Available,DOI_Available,Link_Available,RG_Details,Work_Type,row.names,PT,BA,BE,Z2,Y1,AE,Z3,BS,VL,MA,BP,EP,AR,SU,PD,AK,CT,CY,SP,CL
171,A171,NA,NA,NA,NA,NA,NA,NA,J,"Nizar, M. A.",,,THE EFFECT OF TOURISM TO ECONOMIC GROWTH IN INDONESIA,,,ResearchGate,,,,,,,,2015,,,,,1
172,A172,NA,NA,NA,NA,NA,NA,NA,J,"Norman, L.; Thomas, D. N.",,,"Long-term storage of riverine dissolved organic carbon, Technical note",,,Researchgate,,,,,,10.13140/2.1.3331.5200,,2014,,,,,1
173,A173,NA,NA,NA,NA,NA,NA,NA,J,"Norman, L; Thomas, DN",,,Long-term storage of riverine dissolved organic carbon. Technical note,,,ResearchGate.,,,,,,10.13140/2.1.3331.5200,,2014,,,,,1
174,A174,NA,NA,NA,NA,NA,NA,NA,J,"Nzihou, Ange; Stanmore, B. R.",,,The Formation of Aerosols During the Co-combustion of Coal and Biomass,,,WASTE AND BIOMASS VALORIZATION,6,6,947,957,,10.1007/s12649-015-9390-3,Dec-15,2015,,,,,2
175,A175,NA,NA,NA,NA,NA,NA,NA,J,"O'Reilly-Shah, V; Mackey, S",,,,,,ResearchGate,,,,,,,,2011,,,,,1
176,A176,NA,NA,NA,NA,NA,NA,NA,J,"Oetzel, M.; Heger, G.; Koslowski, T.",,,Einfluss von Umgebungsfeuchte and Temperatur auf die Phasenumwandlungen im System CaSO<INF>4</INF>-H20,,,ResearchGate,53,,254,361,,,,2000,,,,,1
177,A177,NA,NA,NA,NA,NA,NA,NA,J,"Omboni, S.; Isasti, G.",,,How to Measure Interbeat Interval in Human Patients,,,ResearchGate,,,,,,,"Jan. 18,",2013,,,,,1
178,A178,NA,NA,NA,NA,NA,NA,NA,J,"Palatsi, J; Campos-Pozuelo, E; Torres, M; Porras, S; Flotats, X.",,,"Full-scale combination of anaerobic digestion and concentration by evaporation in Garrigues (Lleida, Spain): Evaluation after 2 years of operation",,,ResearchGate,,,,,,,,2005,,,,,1
179,A179,NA,NA,NA,NA,NA,NA,NA,J,"Patel, D. B.; Chauhan, K. R.; Mukhopadhyay, I.",,,"Effect of Electrode's geometric shape, thickness and porosity on the performance of dye sensitized solar cell, III",,,ResearchGate,,,8,19,,,,2014,,,,,1
180,A180,NA,NA,NA,NA,NA,NA,NA,J,"Payne, H. J.",,,Models of Freeway Traffic and Control,,,Research Gate,28,,51,61,,,Jan.,1971,,,,,1
181,A181,NA,NA,NA,NA,NA,NA,NA,J,"Perera, A. S.; Perrizo, W.",,,Gene Function Prediction,,,ResearchGate,,,26,31,,,,2009,,,,,1
182,A182,NA,NA,NA,NA,NA,NA,NA,J,"Petch, N.J.",,,The cleavage strength of polycrystals,,,ResearchGate,173,,25,28,,,,1953,,,,,1
183,A183,NA,NA,NA,NA,NA,NA,NA,J,"Petersen, B.; Gernaey, K.; Henze, M.; Vanrolleghem, P.A",,,Evaluation of an ASM 1 model calibration procedure on a municipal-industrial wastewater treatment plant,,,ResearchGate,4,,,,,,,2002,,,,,1
184,A184,NA,NA,NA,NA,NA,NA,NA,J,"Polovodova Asteman, I. R.; Schonfeld, J.",,,"Recent invasion of the foraminifer Nonionella stella Cushman & Moyer, 1930 in northern European waters: evidence from the Skagerrak and its Fjords",,,ResearchGate,35,1,,,,,,2015,,,,,1
185,A185,NA,NA,NA,NA,NA,NA,NA,J,"Popova, NA; Sheka, EF",,,Mechanochemical reaction in graphane under uniaxial tension,,,Researchgate,,,,,,,,2011,,,,,1
186,A186,NA,NA,NA,NA,NA,NA,NA,J,"Porter, M. F.",,,The porter stemming algorithm,,,ResearchGate,,,,,,,,2006,,,,,1
187,A187,NA,NA,NA,NA,NA,NA,NA,J,"Prahallad, Kishore; Sangal, Rajeev",,,A Data-Driven Synthesis Approach for Indian Languages using Syllable as aBasic Unit,,,ResearchGate,,,,,,,January,2002,,,,,1
188,A188,NA,NA,NA,NA,NA,NA,NA,J,"Prahl, S.",,,Optical property measurements using the inverse adding- doubling program,,,Researchgate,,,,,,,March,1995,,,,,1
189,A189,NA,NA,NA,NA,NA,NA,NA,J,"Pribyl, J.; Krejcova, H.; Pribylova, J.; Misztal, I.; Bohmanova, J",,,Trajectory of body weight of performance tested dual-purpose bulls.,,,ResearchGate,52,,,,,,,2007,,,,,1
190,A190,NA,NA,NA,NA,NA,NA,NA,J,"Qi, F; Shi, X-T; Liu, F-F; Yang, Z-H",,,A double inequality for an integral mean in terms of the exponential and logarithmic means,,,ResearchGate,,,,,,10.13140/RG.2.1.2353.6800,,2015,,,,,1
191,A191,NA,NA,NA,NA,NA,NA,NA,J,"Rabin, M.O.; Thorpe, C.",,,Time-laspe cryptography,,,ResearchGate,,,1,16,,,,2007,,,,,1
192,A192,NA,NA,NA,NA,NA,NA,NA,J,"Racuciu, M",,,,,,Researchgate,2015,,,,,,,2016,,,,,1
193,A193,NA,NA,NA,NA,NA,NA,NA,J,"Rao, J. G.; Zhang, Y. S.; Fokas, A. S.; He, J. S.",,,Rogue waves of the nonlocal Davey-Stewartson I equation,,,ResearchGate,,,,,,,,2017,,,,,1
194,A194,NA,NA,NA,NA,NA,NA,NA,J,,ResearchGate,,Researcher partly validates results of controversial stem cell study,,,ResearchGate,,,,,,,1-Apr,2014,,,,,1
195,A195,NA,NA,NA,NA,NA,NA,NA,J,,ResearchGate,,,,,ResearchGate,,,,,,,,2008,,,,,1
196,A196,NA,NA,NA,NA,NA,NA,NA,J,"Ribeiro, M J; Labrincha, J A; Ferreira, J",,,,,,Researchgate,,,1,19,,,,2003,,,,,1
197,A197,NA,NA,NA,NA,NA,NA,NA,J,"Rico, A.; Ruchkin, I.; Schmerl, B.; Garlan, D.",,,Hardware Power Modeling for Turtlebot,,,ResearchGate,,,,,,,Jul.,2016,,,,,1
198,A198,NA,NA,NA,NA,NA,NA,NA,J,"Roschek, T.",,,MICROMORPHrm Technology: introduction and the path to record efficiencies,,,ResearchGate,,,,,,10.13140/RG.2.1.1628.8804,,2015,,,,,1
199,A199,NA,NA,NA,NA,NA,NA,NA,J,"Roschek, T.",,,MICROMORPH&TRADE; Technology: Introduction and the Path to Record Efficiencies,,,ResearchGate,,,,,,,,2015,,,,,1
200,A200,NA,NA,NA,NA,NA,NA,NA,J,"Rossello-Busquet, Ana; Soler, Jose",,,Towards Efficient Energy Management: Defining HEMS and Smart Grid Objectives,,,ResearchGate,,,,,,,,NA,,,,,1
201,A201,NA,NA,NA,NA,NA,NA,NA,J,"Rouquerol, J.; Rouquerol, F.; Sing, K.S.W.",,,,,,ResearchGate,,,,,,,,1999,,,,,1
202,A202,NA,NA,NA,NA,NA,NA,NA,J,"Schindel, W.",,,What is the Smallest Model of a System?,,,ResearchGate,,,,,,,,2011,,,,,1
203,A203,NA,NA,NA,NA,NA,NA,NA,J,"Scrucca, L.; Fop, M.; Murphy, T. B.; Raftery, A. E.",,,"mclust 5: Clustering, Classification and Density Estimation Using Gaussian Finite Mixture Models",,,ResearchGate,8,1,204,233,,,,2016,,,,,1
204,A204,NA,NA,NA,NA,NA,NA,NA,J,"Serio, R.; Billack, B.",,,Potential Tumor Biomarkers for Ovarian Cancer,,,Researchgate. Net,125,,,,,,,2011,,,,,1
205,A205,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Choi, J; Celik, B",,,A new approach to generalized of Hermite-Hadamard inequality using fractional integral operator,,,ResearchGate,,,,,,,,NA,,,,,1
206,A206,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Celik, B",,,On generalization related to the left side of Fejer's inequalites via fractional integral operator,,,ResearchGate,,,,,,,,NA,,,,,1
207,A207,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Akdemir, AO; Celik, B",,,On generalization of Fejer type inequalities via fractional integral operator,,,ResearchGate,,,,,,,,NA,,,,,1
208,A208,NA,NA,NA,NA,NA,NA,NA,J,"Shabila, N",,,Assessment of the Iraqi primary care referral system: reporting a high self-requested referral rate,,,ResearchGate.,10,3,4,10,,,,2012,,,,,1
209,A209,NA,NA,NA,NA,NA,NA,NA,J,"Shackleford, JA; Shusharina, N; Verberg, J",,,Plastimatch 1. 6-current capabilities and future directions,,,ResearchGate,,,108,119,,,,2012,,,,,1
210,A210,NA,NA,NA,NA,NA,NA,NA,J,"Shalashvili, A.; Ugrekhelidze, D.; Mitaishvili, T.; Targamadze, I.; Zambakhidze, N.",,,"Phenolic compounds of wines from georgian autochthonous grapes, rkatsiteli and saperavi, prepared by georgian (kakhetian) technology",,,ResearchGate,6,,99,103,,,,2012,,,,,2
211,A211,NA,NA,NA,NA,NA,NA,NA,J,"Sharbrough, FW; Chatrian, GE; Lesser, RP; Luders, H; Nuwer, M; Picton, TW",,,Guideline thirteen: Guidelines for standard electrode position nomenclature American Electroencephalographic Society J Clin Neurophysiol 1994 11 111 113 8195414,,,ResearchGate,8,,200,202,,,,1991,,,,,1
212,A212,NA,NA,NA,NA,NA,NA,NA,J,"Shen, L.Y.X.W.Y.Y. Chao",,,An experimental and numerical study of defouling evaporator used in a wastewater source heat pump,,,ResearchGate,,,,,,,,2014,,,,,1
213,A213,NA,NA,NA,NA,NA,NA,NA,J,"Singh, V. P.; Chowdhury, P. K",,,On Fitting Gamma Distrubution to Synthetic Runoff Hydrographs,,,Research Gate,l6,,,,,,,1985,,,,,1
214,A214,NA,NA,NA,NA,NA,NA,NA,J,"Steeg, T.",,,Systems thinking and practice: a review and analysis of key ideas and their implications for practice in design & technology education,,,ResearchGate,,,203,214,,,,2000,,,,,1
215,A215,NA,NA,NA,NA,NA,NA,NA,J,"Stensrud, B. S.; Barrett, G. C.; Lisetti, C. L.; Gonzalez, A.",,,Modeling affect in context based reasoning,,,ResearchGate,,,,,,,,2015,,,,,1
216,A216,NA,NA,NA,NA,NA,NA,NA,J,"Stephant, N.",,,In: Why during SEM-EDX We Cannot Detect Nitrogen However on the Element Map Nitrogen Is Detected what Reason Could Someone Explain,,,Researchgate,,,,,,,,2016,,,,,1
217,A217,NA,NA,NA,NA,NA,NA,NA,J,"Straatman, J; van der Peet, DL",,,C- reactive protein after major ab- dominal surgery: biochemical and clinical aspects,,,ResearchGate [Internet],,,2,2,,,,2015,,,,,1
218,A218,NA,NA,NA,NA,NA,NA,NA,J,"Sukassini, M.; Velmurugan, T.",,,Nois removal using Morphology and Median filter Methods in Mammogram Images,,,ResearchGate,,,413,419,,,,2016,,,,,1
219,A219,NA,NA,NA,NA,NA,NA,NA,J,"Sulthan, S. M.",,,Fuzzy based Maximum Power Point Tracking Controller for Stand alone Photovoltaic system using MATLAB/Simulink,,,ResearchGate,10,55,,,,,May,2015,,,,,1
220,A220,NA,NA,NA,NA,NA,NA,NA,J,"Takacs, Barnabas; Hanak, David",,,A mobile system for assisted living with ambient facial interfaces,,,ResearchGate,2,,33,50,,,,2006,,,,,1
221,A221,NA,NA,NA,NA,NA,NA,NA,J,"Takamura, K.; Ueda, Y.; Irie, U.; Yamaguchi, Y.",,,Immunohistology with antibodies specific to test cells in the ascidian Ciona intestinalis suggests their role in larval tunic formation,,,ResearchGate.,13,,241,251,,,,2009,,,,,1
222,A222,NA,NA,NA,NA,NA,NA,NA,J,"Tan, W.; Hunley, P.; St Omer, I.",,,Properties of silicon carbide nanotubes formed via reaction of SiO2 powder with SWCNTs and MWCNTs,,,ResearchGate.,,,,,,DOI 10.1109/SECON.2009.5174082,,2009,,,,,1
223,A223,NA,NA,NA,NA,NA,NA,NA,J,Tan Yue; Gao Dong-sheng; Li Ling; Wet Hai-rong; Wang Jia-wei; Liu Qing-zhong,,,Relationships between H2O2 metabolism and Ca2+ transport in dormancy-breaking process of nectarine floral buds.,,,Yingyong Shengtai Xuebao,26,2,425,429,1001-9332(2015)26:2<425:YTHYPM>2.0.TX;2-R,,Feb-15,2015,,,,,1
224,A224,NA,NA,NA,NA,NA,NA,NA,J,"Tawatwachoom, T.; Khottoom, N.; Wairuangsiripon, S.; Rungrojchaipon, P.",,,,,,Researchgate,,,1,1,,DOI 10.13140/RG.2.1.2669.5847,,2015,,,,,1
225,A225,NA,NA,NA,NA,NA,NA,NA,J,"Terenin, Alexander; Draper, David",,,Rigorizing and Extending the Cox-Jaynes Derivation of Probability: Implications for Statistical Practice,,,ResearchGate.net,,,,,,,,2015,,,,,1
226,A226,NA,NA,NA,NA,NA,NA,NA,J,"Thomas, J.",,,The Geometry of Polychronous Wavefront Computation,,,ResearchGate,,,,,,,,2015,,,,,1
227,A227,NA,NA,NA,NA,NA,NA,NA,J,"Thomas, J.",,,A Mathematical Treatise on Polychronous Wavefront Computation and its Application into Modeling Neurosensory Systems,,,ResearchGate,,,,,,,,2014,,,,,2
228,A228,NA,NA,NA,NA,NA,NA,NA,J,"Ticinesi, A.; Lauretani, F.; Nouvenne, A.; Porro, E.; Fanelli, G.; Maggio, M.; Meschi, T.",,,C-Reactive Protein (CRP) Measurement in Geriatric Patients Hospitalized for Acute Infection,,,ResearchGate.,,,,,,,,2016,,,,,1
229,A229,NA,NA,NA,NA,NA,NA,NA,J,"Torres, J.",,,Identity Management Requirements in Future Internet,,,ResearchGate,,,,,,,Nov.,2012,,,,,1
230,A230,NA,NA,NA,NA,NA,NA,NA,J,"Totten, G. E.",,,,,,Polymer quenchants for induction heat treating applications: the basics,,,,,,,,2000,,,,,1
231,A231,NA,NA,NA,NA,NA,NA,NA,J,"Trapero, J.R.",,,Estimation of solar irradiation prediction intervals combining volatility and kernel density estimates,,,ResearchGate,,,,,,,,2015,,,,,1
232,A232,NA,NA,NA,NA,NA,NA,NA,J,"Trotteyn, M. J.",,,Nuevas evidencias del desarrollo del floculo en el cerebelo de arcosauriformes: variabilidad e implicancias paleobiologicas,,,Research Gate,,,,,,,,2015,,,,,1
233,A233,NA,NA,NA,NA,NA,NA,NA,J,"Tversky, A; Kahneman, D",,,Evidential Impact of Base Rates,,,ResearchGate.,,,29,29,,,,1981,,,,,1
234,A234,NA,NA,NA,NA,NA,NA,NA,J,"Ukani, Vijay; Thacker, Dhaval",,,,,,QoS Aware Geographic Routing Protocol for Multimedia Transmission in Wireless Sensornetwork,,,,,,DOI 10.1109/NUICONE.2015.7449639,November,2015,,,,,1
235,A235,NA,NA,NA,NA,NA,NA,NA,J,"Valverde-Rebaza, J; Valejo, A",,,a naive bayes model based on ovelapping groups for link prediction in online social networks,,,researchgate,,,,,,,,2015,,,,,1
236,A236,NA,NA,NA,NA,NA,NA,NA,J,"van Borkulo, CD; Waldorp, LJ; Boschloo, L",,,Comparing network structures on three aspects: a permutation test,,,ResearchGate,,,,,,,,NA,,,,,1
237,A237,NA,NA,NA,NA,NA,NA,NA,J,"van der Weijde, A. H.; Hobbs, B. F.",,,Planning electricity transmission to accommodate renewables: Using two-stage programming to evaluate flexibility and the cost of disregarding uncertainty,,,Research Gate,34,6,,,,,Nov.,2012,,,,,1
238,A238,NA,NA,NA,NA,NA,NA,NA,J,"Van Keulen, M; Otten, W; Ruiter, R; Van Steenbergen, J; Fekkes, M; Paulussen, TW",,,Researchgate,,,Redenen om zich te laten vaccineren tegen HPV,,,,,,,,2013,,,,,1
239,A239,NA,NA,NA,NA,NA,NA,NA,J,"Vanrolleghem, P.A.; Insel, G.; Petersen, B.; Sin, G.; Pauw, D.D.; Nopens, I.; Dovermann, H.; Weijers, S.; Gernaey, K",,,A comprehensive model calibration procedure for activated sludge models,,,ResearchGate,,,,,,,,2003,,,,,1
240,A240,NA,NA,NA,NA,NA,NA,NA,J,"Velmurugan, D. T.",,,Efficiency of k-Means and K-Medoids Algorithms for Clustering Arbitrary Data Points,,,ResearchGate,3,5,1758,1764,,,Oct.,2012,,,,,1
241,A241,NA,NA,NA,NA,NA,NA,NA,J,"Verdelhos, T.; Cardoso, P.G.; MaP, M.D",,,"Latitudinal gradients in Scrobicularia plana reproduction patterns, population dynamics, growth, and secondary production",,,ResearchGate,442,,,,,,,2011,,,,,1
242,A242,NA,NA,NA,NA,NA,NA,NA,J,"Voipio-Pulkki, LM; Nuutila, P; Knuuti, MJ; Ruotsalainen, U; Haaparanta, M; Teras, M",,,Heart and skeletal muscle glucose disposal in type 2 diabetic patients as determined by positron emission tomography,,,ResearchGate.,34,12,2064,7,,,1-Jan,1994,,,,,1
243,A243,NA,NA,NA,NA,NA,NA,NA,J,"Wang, W.; Li, S.; Qi, H.; Ayhan, B.; Kwan, C.; Vance, S.",,,Revisiting the preprocessing procedures for elemental concentration estimation based on CHEMCAM LIBS on MARS Rover,,,RESEARCHGATE,,,,,,,,2014,6th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing,,,,1
244,A244,NA,NA,NA,NA,NA,NA,NA,J,"Watthanaworawit, W.; Turner, P.; Turner, C. L.; Tanganuchitcharnchai, A.; Jarman, E. G.; Blacksell, S. D.; Nosten, F. H.",,,A prospective evaluation of diagnostic methodologies for the acute diagnosis of dengue virus infection on the Thailand-Myanmar border,,,ResearchGate,105,,32,37,,,,2010,,,,,1
245,A245,NA,NA,NA,NA,NA,NA,NA,J,"Weber, J S; Fritz, J; Denger, A; Maletz, M; Zingel, C; Denger, D",,,Synergien in der modellbasierten Antriebsstrang-und Testsystem-Entwicklung-Model-Based Systems Engineering in der industriellen Anwendung. Conference Paper,,,ResearchGate,,,,,,,November,2014,,,,,1
246,A246,NA,NA,NA,NA,NA,NA,NA,J,,"Wikipedia, ResearchGate",,,,,RESEARCHGATE,,,,,,,,NA,,,,,1
247,A247,NA,NA,NA,NA,NA,NA,NA,J,"Wilson, M.; Zolfaghari, P.; Griffin, C.; Lockey, D.; Tolias, C.; Verma, V.",,,The future of traumatic brain injury research,,,ResearchGate,22,1,766,766,,,Dec,2014,,,,,1
248,A248,NA,NA,NA,NA,NA,NA,NA,J,"Wolpert, D. H.; Macready, W. G.",,,Self-Dissimilarity: An Empirical Measure of Complexity,,,ResearchGate,,,,,,,,1998,,,,,1
249,A249,NA,NA,NA,NA,NA,NA,NA,J,"Xi, B. Y.; Bai, S. P.; Qi, F.",,,,,,"Some new inequalities of Hermite-Hadamard type for (a, mi)-(s, m2)-convex functions on coordinates",,,,,,,,NA,,,,,1
250,A250,NA,NA,NA,NA,NA,NA,NA,J,"Xiao, Y.; Wehrs, J.; Ma, H.; Al-Samman, T.; Korte-Kerzel, S.; Gken, M.; Michler, J.; Spolenak, R.; Wheeler, J.M.",,,Investigation of the deformation behavior of aluminum micropillars produced by focused ion beam machining using Ga and Xe ions,,,ResearchGate,,,,,,,,2016,,,,,1
251,A251,NA,NA,NA,NA,NA,NA,NA,J,"Yang, M.; Blyth, W.",,,Modeling Investment Risks and Uncertainties with Real-Options Approach,,,ResearchGate,,,,,,,Jan.,2007,,,,,1
252,A252,NA,NA,NA,NA,NA,NA,NA,J,"Yin, H.; Schonhals, A.",,,Broadband Dielectric Spectroscopy on Polymer Blends,,,ResearchGate,,,,,,,,2014,,,,,1
253,A253,NA,NA,NA,NA,NA,NA,NA,J,"Young, M D; Wakefield, M J; Smyth, G K; Oshlack, A",,,Goseq: gene ontology testing for RNA-seq datasets,,,ResearchGate,,,1,26,,,,2012,,,,,2
254,A254,NA,NA,NA,NA,NA,NA,NA,J,"Yuzhakov, V.V.",,,The AdminPenTM microneedle device for painless & convenient drug delivery,,,Drug Deliv.ery Technol,10,4,32,36,,,,2010,,,,,3
255,A255,NA,NA,NA,NA,NA,NA,NA,J,"Zhan, Jianfeng",,,,,,"Big Data Benchmarks, Performance Optimization, and Emerging Hardware: 4th and 5th Workshops",,,,,,,,2014,,,,,1
256,A256,NA,NA,NA,NA,NA,NA,NA,J,"Zhang, D; Li, N; Zhou, ZH; Chen, C; Sun, L; Li, S",,,iBAT: detecting anomalous taxi trajectories from GPS traces. IBAT: detecting anomalous taxi trajectories from GPS traces,,,ResearchGate,,,99,108,,,,2011,,,,,1
