,CID,AID,PT,AU,GP,RI,OI,BE,TI,SO,SE,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC,Z8,ZR,ZB,ZS,Z9,SN,EI,BN,UT,PM
1,R001,,J,"Goncalves, Jose; Gutierrez-Aguirre, Ion; Balasubramanian, Mukundh N.; Zagorscak, Maja; Ravnikar, Maja; Turk, Valentina",,,,,Surveillance of human enteric viruses in coastal waters using concentration with methacrylate monolithic supports prior to detection by RT-qPCR,MARINE POLLUTION BULLETIN,,128,NA,307,317,,10.1016/j.marpolbul.2018.01.040,18-Mar,2018,,,,,0,0,0,0,0,0,0025-326X,1879-3363,,WOS:000430645600035,29571377
2,R002,A003,J,"Nguemte, P. Matsodoum; Wafo, G. V. Djumyom; Djocgoue, P. F.; Noumsi, I. M. Kengne; Ngnien, A. Wanko",,,,,Potentialities of Six Plant Species on Phytoremediation Attempts of Fuel Oil-Contaminated Soils,WATER AIR AND SOIL POLLUTION,,229,3,NA,NA,88,10.1007/s11270-018-3738-9,18-Mar,2018,,,,,0,0,0,0,0,0,0049-6979,1573-2932,,WOS:000428305400036,NA
3,R003,,J,"Ben-David, Tom; Waring, Michael S.",,,,,Interplay of ventilation and filtration: Differential analysis of cost function combining energy use and indoor exposure to PM2.5 and ozone,BUILDING AND ENVIRONMENT,,128,NA,320,335,,10.1016/j.buildenv.2017.10.025,JAN 15 2018,2018,,,,,0,0,0,0,0,0,0360-1323,1873-684X,,WOS:000423004900028,NA
4,R004,A007,J,"Morais, Guilherne Augusto Zimeo; Scholkmann, Felix; Balardin, Joana Bisol; Furucho, Rogerio Akira; de Paula, Renan Costa Vieira; Biazoli, Claudinei Eduardo, Jr.; Sato, Joao Ricardo",,,,,Non-neuronal evoked and spontaneous hemodynamic changes in the anterior temporal region of the human head may lead to misinterpretations of functional near-infrared spectroscopy signals,NEUROPHOTONICS,,5,1,NA,NA,11002,10.1117/1.NPh.5.1.011002,JAN-MAR 2018,2018,,,,,0,0,0,0,0,0,2329-423X,2329-4248,,WOS:000429587200002,NA
5,R005,A015,J,"Hafner, Benjamin D.; Koenig, Andreas; Auerswald, Karl",,,"Hafner, Benjamin D/0000-0003-2348-9200",,Hoof Growth Rates of the European Roe Deer (Capreolus capreolus) for Dating the Hoof's Isotopic Archive,FORESTS,,8,12,NA,NA,462,10.3390/f8120462,17-Dec,2017,,,,,0,0,0,0,0,0,1999-4907,,,WOS:000419210800003,NA
6,R006,A001,J,"Cisneros-Covarrubias, Candida A.; Corona-Rivera, Miguel A.; Ovando-Medina, Victor M.; Martinez-Gutierrez, Hugo; Mendizabal, Eduardo; Manriquez-Gonzalez, Ricardo",,"CORONA RIVERA, MIGUEL ANGEL/O-5228-2014","CORONA RIVERA, MIGUEL ANGEL/0000-0001-9504-8506",,Water-dispersible nanohydrogels of cross-linked polyacrylamide,COLLOID AND POLYMER SCIENCE,,295,12,2395,2404,,10.1007/s00396-017-4211-9,17-Dec,2017,,,,,0,0,0,0,0,0,0303-402X,1435-1536,,WOS:000414945700013,NA
7,R007,A012,J,"Mezzasalma, Valerio; Sandionigi, Anna; Bruni, Ilaria; Bruno, Antonia; Lovicu, Gianni; Casiraghi, Maurizio; Labra, Massimo",,,,,Grape microbiome as a reliable and persistent signature of field origin and environmental conditions in Cannonau wine production,PLOS ONE,,12,9,NA,NA,e0184615,10.1371/journal.pone.0184615,SEP 11 2017,2017,,,,,2,0,0,0,0,2,1932-6203,,,WOS:000410243200019,28892512
8,R008,A008,J,"Shukor, Ali R.; Klazinga, Niek S.; Kringos, Dionne S.",,,,,"Primary care in an unstable security, humanitarian, economic and political context: the Kurdistan Region of Iraq",BMC HEALTH SERVICES RESEARCH,,17,NA,NA,NA,592,10.1186/s12913-017-2501-z,AUG 23 2017,2017,,,,,0,0,0,0,0,0,1472-6963,,,WOS:000408473000006,28835274
9,R009,,J,"Heydt, G. T.",,,,,Thevenin's Theorem Applied to the Analysis of Polyphase Transmission Circuits,IEEE TRANSACTIONS ON POWER DELIVERY,,32,1,72,77,,10.1109/TPWRD.2016.2537264,17-Feb,2017,,,,,0,0,0,0,0,0,0885-8977,1937-4208,,WOS:000394539200008,NA
10,R010,NA,B,"Chen, Peng; Li, Ding; Huang, Ronghuai",,,,"Chen, W; Yang, JC; Ayub, AFM; Wong, SL; Mitrovic, A",A Study of Design Thinking Adaptation for Maker Education Process,25TH INTERNATIONAL CONFERENCE ON COMPUTERS IN EDUCATION (ICCE 2017): TECHNOLOGY AND INNOVATION: COMPUTER-BASED EDUCATIONAL SYSTEMS FOR THE 21ST CENTURY,,NA,NA,820,822,,,2017,2017,25th International Conference on Computers in Education (ICCE) - Technology and Innovation - Computer-Based Educational Systems for the 21st Century25th International Conference on Computers in Education (ICCE) - Technology and Innovation - Computer-Based Educational Systems for the 21st Century,"DEC 04-08, 2017DEC 04-08, 2017",,"Christchurch, NEW ZEALANDChristchurch, NEW ZEALAND",0,0,0,0,0,0,,,978-986-94012-6-5,WOS:000431848700137,NA
11,R011,NA,B,"Oyekanlu, Emmanuel",,,,"Nie, JY; Obradovic, Z; Suzumura, T; Ghosh, R; Nambiar, R; Wang, C; Zang, H; BaezaYates, R; Hu, X; Kepner, J; Cuzzocrea, A; Tang, J; Toyoda, M",Predictive Edge Computing for Time Series of Industrial IoT and Large Scale Critical Infrastructure based on Open-source Software Analytic of Big Data,2017 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),,NA,NA,1663,1669,,,2017,2017,IEEE International Conference on Big Data (IEEE Big Data)IEEE International Conference on Big Data (IEEE Big Data),"DEC 11-14, 2017DEC 11-14, 2017",IEEE; IEEE Comp Soc; ELSEVIER; CISCOIEEE; IEEE Comp Soc; ELSEVIER; CISCO,"Boston, MABoston, MA",0,0,0,0,0,0,,,978-1-5386-2715-0,WOS:000428073701082,NA
12,R012,NA,B,"Backfrieder, Christian; Lindorfer, Manuel; Mecklenbraeuker, Christoph F.; Ostermayer, Gerald",IEEE,,,,Impact of Varying Penetration Rate of Intelligent Routing Capabilities on Vehicular Traffic Flow,2017 IEEE 86TH VEHICULAR TECHNOLOGY CONFERENCE (VTC-FALL),IEEE Vehicular Technology Conference VTC,NA,NA,NA,NA,,,2017,2017,86th IEEE Vehicular Technology Conference (VTC-Fall)86th IEEE Vehicular Technology Conference (VTC-Fall),"SEP 24-27, 2017SEP 24-27, 2017",IEEE; Huawei; TelusIEEE; Huawei; Telus,"Toronto, CANADAToronto, CANADA",0,0,0,0,0,0,,,978-1-5090-5935-5,WOS:000428141602067,NA
13,R013,A013,S,"Sharabi, Yonatan; Sheinfux, Hanan Herzig; Eisenstein, Gadi; Segev, Mordechai",IEEE,,,,Periodic Behavior in Aperiodic Multilayers,2017 CONFERENCE ON LASERS AND ELECTRO-OPTICS (CLEO),Conference on Lasers and Electro-Optics,NA,NA,NA,NA,,,2017,2017,Conference on Lasers and Electro-Optics (CLEO)Conference on Lasers and Electro-Optics (CLEO),"MAY 14-19, 2017MAY 14-19, 2017",IEEEIEEE,"San Jose, CASan Jose, CA",0,0,0,0,0,0,2160-9020,,978-1-9435-8027-9,WOS:000427296200429,NA
14,R014,A002,S,"Samet, Nouha; Ben Letaifa, Asma; Hamdi, Mohamed; Tabbane, Sami",IEEE,,,,Adaptive encryption for real time mobile multimedia services,2017 13TH INTERNATIONAL WIRELESS COMMUNICATIONS AND MOBILE COMPUTING CONFERENCE (IWCMC),International Wireless Communications and Mobile Computing Conference,NA,NA,282,286,,,2017,2017,13th International Wireless Communications and Mobile Computing Conference (IWCMC)13th International Wireless Communications and Mobile Computing Conference (IWCMC),"JUN 26-30, 2017JUN 26-30, 2017",IEEE; IEEE Spain Sect; Polytechn Univ ValenciaIEEE; IEEE Spain Sect; Polytechn Univ Valencia,"Valencia, SPAINValencia, SPAIN",0,0,0,0,0,0,2376-6492,,978-1-5090-4372-9,WOS:000426991500048,NA
15,R015,A002,S,"Samet, Nouha; Ben Letaifa, Asma; Hamdi, Mohamed; Tabbane, Sami",IEEE,,,,Energy consumption comparison for mobile video streaming encryption algorithm,2017 13TH INTERNATIONAL WIRELESS COMMUNICATIONS AND MOBILE COMPUTING CONFERENCE (IWCMC),International Wireless Communications and Mobile Computing Conference,NA,NA,1350,1355,,,2017,2017,13th International Wireless Communications and Mobile Computing Conference (IWCMC)13th International Wireless Communications and Mobile Computing Conference (IWCMC),"JUN 26-30, 2017JUN 26-30, 2017",IEEE; IEEE Spain Sect; Polytechn Univ ValenciaIEEE; IEEE Spain Sect; Polytechn Univ Valencia,"Valencia, SPAINValencia, SPAIN",0,0,0,0,0,0,2376-6492,,978-1-5090-4372-9,WOS:000426991500229,NA
16,R016,NA,S,"Blazek, Thomas; Mecklenbraeuker, Christoph F.; Backfrieder, Christian; Ostermayer, Gerald",IEEE,,,,Improving Communication Reliability in Intelligent Transport Systems Through Cooperative Driving,2017 10TH IFIP WIRELESS AND MOBILE NETWORKING CONFERENCE (WMNC 2017),Joint IFIP Wireless and Mobile Networking Conference,NA,NA,NA,NA,,,2017,2017,10th IFIP Wireless and Mobile Networking Conference (WMNC)10th IFIP Wireless and Mobile Networking Conference (WMNC),"SEP 25-27, 2017SEP 25-27, 2017",IFIP; Univ Politecnica Valencia; Telecom Escuela Tecnica VLC Super UPV Ingenieros Telecomunicacion; Inst Investigac Gest Integrada Zonas Costeras; IEEE Secc EspanaIFIP; Univ Politecnica Valencia; Telecom Escuela Tecnica VLC Super UPV Ingenieros Telecomunicacion; Inst Investigac Gest Integrada Zonas Costeras; IEEE Secc Espana,"Valencia, SPAINValencia, SPAIN",0,0,0,0,0,0,2163-4033,,978-1-5386-1742-7,WOS:000427351600010,NA
17,R017,A010,S,"Sangsawad, Seksan; Fung, Chun Che",,,,"Mitrpanont, JL; Sawangphol, W",Extracting Significant Features Based on Candlestick Patterns Using Unsupervised Approach,2017 2ND INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY (INCIT),Proceedings of the International Conference on Information Technology,NA,NA,7,11,,,2017,2017,2nd International Conference on Information Technology (INCIT)2nd International Conference on Information Technology (INCIT),"NOV 02-03, 2017NOV 02-03, 2017",IEEEIEEE,"Nakhonpathom, THAILANDNakhonpathom, THAILAND",0,0,0,0,0,0,2155-8973,,978-1-5386-1431-0,WOS:000426980100002,NA
18,R018,NA,B,"Torro, O.; Gupta, J. P.; Karkkainen, H.; Pirkkalainen, H.; Vatrapu, R.; Mukkamala, R. R.; Hussain, A.",ACM,,"Gupta, Jayesh Prakash/0000-0003-4043-4818; Pirkkalainen, Henri/0000-0002-5389-7363",,Integrating micro-level interactions with social network analysis in tie strength research: the edge-centered approach,PROCEEDINGS OF THE 21ST INTERNATIONAL ACADEMIC MINDTREK CONFERENCE (ACADEMIC MINDTREK),,NA,NA,203,209,,10.1145/3131085.3131095,2017,2017,21st International Academic Mindtrek Conference (Mindtrek)21st International Academic Mindtrek Conference (Mindtrek),"SEP 20-21, 2017SEP 20-21, 2017",ACM SIGMM; ACM SIGCHIACM SIGMM; ACM SIGCHI,"Tampere, FINLANDTampere, FINLAND",0,0,0,0,0,0,,,978-1-4503-5426-4,WOS:000426935300024,NA
19,R019,A006,S,"Satish, Laika; Yusof, Norazah",,,,"Budiharto, W; Wulandhari, LA; Gunawan, AAS; Chowanda, A; Ham, H; Meiliana; Suryani, D; Hanafiah, N",A Review: Big Data Analytics for enhanced Customer Experiences with Crowd Sourcing,DISCOVERY AND INNOVATION OF COMPUTER SCIENCE TECHNOLOGY IN ARTIFICIAL INTELLIGENCE ERA,Procedia Computer Science,116,NA,274,283,,10.1016/j.procs.2017.10.058,2017,2017,2nd International Conference on Computer Science and Computational Intelligence (ICCSCI)2nd International Conference on Computer Science and Computational Intelligence (ICCSCI),"OCT 13-14, 2017OCT 13-14, 2017",,"Bali, INDONESIABali, INDONESIA",0,0,0,0,0,0,1877-0509,,*****************,WOS:000424023700036,NA
20,R020,NA,J,"Altekin, F. Tevhide",,,,,A comparison of piecewise linear programming formulations for stochastic disassembly line balancing,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,,55,24,7412,7434,,10.1080/00207543.2017.1351639,2017,2017,,,,,0,0,0,0,0,0,0020-7543,1366-588X,,WOS:000423135100010,NA
21,R021,A004,B,"Shochat, Gili; Maoz, Sivan; Stark-Inbar, Alit; Blumenfeld, Barak; Rand, Debbie; Preminger, Son; Sacher, Yaron",IEEE,,,,Motion-based virtual reality cognitive training targeting executive functions in acquired brain injury community-dwelling individuals: a feasibility and initial efficacy pilot,2017 INTERNATIONAL CONFERENCE ON VIRTUAL REHABILITATION (ICVR),,NA,NA,NA,NA,,,2017,2017,International Conference on Virtual Rehabilitation (ICVR)International Conference on Virtual Rehabilitation (ICVR),"JUN 19-22, 2017JUN 19-22, 2017",,"Montreal, CANADAMontreal, CANADA",0,0,0,0,0,0,,,978-1-5090-3053-8,WOS:000411111900075,NA
22,R022,A014,J,"Giampietri, Elisa; Koemle, Dieter B. A.; Yu, Xiaohua; Finco, Adele",,,"Finco, Adele/0000-0002-9859-901X",,Consumers' Sense of Farmers' Markets: Tasting Sustainability or Just Purchasing Food?,SUSTAINABILITY,,8,11,NA,NA,1157,10.3390/su8111157,16-Nov,2016,,,,,2,0,0,0,0,2,2071-1050,,,WOS:000389316200077,NA
23,R023,A009,J,"Li, John T.",,,"Li, John/0000-0002-7218-8298",,What we learn from the shifts in highly cited data from 2001 to 2014?,SCIENTOMETRICS,,108,1,57,82,,10.1007/s11192-016-1958-6,16-Jul,2016,,,,,2,0,0,1,0,2,0138-9130,1588-2861,,WOS:000378777500004,NA
24,R024,NA,B,"Vinida, K.; Chacko, Mariamma",IEEE,,,,An optimized H infinity strategy for robust control of sensorless BLDC propulsion motor in submarines for improved maneuverability,"2016 IEEE INTERNATIONAL CONFERENCE ON POWER ELECTRONICS, DRIVES AND ENERGY SYSTEMS (PEDES)",,NA,NA,NA,NA,,,2016,2016,"IEEE International Conference on Power Electronics, Drives and Energy Systems (PEDES)IEEE International Conference on Power Electronics, Drives and Energy Systems (PEDES)","DEC 14-17, 2016DEC 14-17, 2016",IEEE; IEEE Ind Applicat Soc; IEEE Power Elect Soc; IEEE Ind Elect Soc; IEEE Power & Energy Syst SocIEEE; IEEE Ind Applicat Soc; IEEE Power Elect Soc; IEEE Ind Elect Soc; IEEE Power & Energy Syst Soc,"Trivandrum, INDIATrivandrum, INDIA",0,0,0,0,0,0,,,978-1-4673-8888-7,WOS:000406490900063,NA
25,R025,A005,J,"Gao, Hongwei",,,,,A first principles investigation of the NO oxidation mechanism on Pt/gamma-Al2O3,RSC ADVANCES,,6,105,102914,102923,,10.1039/c6ra20559c,2016,2016,,,,,1,0,0,0,0,1,2046-2069,,,WOS:000387726500009,NA
26,R026,A011,J,"Shu, Si-Yun; Jiang, Gang; Zeng, Qi-Yi; Wang, Bin; Li, Hong; Ma, Lin; Steinbusch, Harry; Song, Cai; Chan, Wood-Yee; Chen, Xu-Hong; Wu, Yon-Ming; Bao, Rong; Chen, Yan-chen; Wu, Jang-Yen",,"Steinbusch, Heinrich/L-6950-2017",,,The Marginal Division of the Striatum and Hippocampus Has Different Role and Mechanism in Learning and Memory,MOLECULAR NEUROBIOLOGY,,51,2,827,839,,10.1007/s12035-014-8891-6,15-Apr,2015,,,,,4,1,0,2,0,5,0893-7648,1559-1182,,WOS:000351311800033,25274077
27,R027,NA,S,"Sinha, Debanshu; Haribabu, K.; Balasubramaniam, Sundar",IEEE,,,,Real-Time Monitoring of Network Latency in Software Defined Networks,2015 IEEE INTERNATIONAL CONFERENCE ON ADVANCED NETWORKS AND TELECOMMUNCATIONS SYSTEMS (ANTS),IEEE International Conference on Advanced Networks and Telecommunication Systems,NA,NA,NA,NA,,,2015,2015,9th IEEE International Conference on Advanced Networks and Telecommuncations Systems (ANTS)9th IEEE International Conference on Advanced Networks and Telecommuncations Systems (ANTS),"DEC 15-18, 2015DEC 15-18, 2015",IEEE; IEEE Commun Soc; Alphion; Tata Consultancy Serv; Wipro; Cisco; Dell; Infinera; Springer; DRDO; IntelIEEE; IEEE Commun Soc; Alphion; Tata Consultancy Serv; Wipro; Cisco; Dell; Infinera; Springer; DRDO; Intel,"Kolkata, INDIAKolkata, INDIA",0,0,0,0,0,0,2329-7077,,978-1-5090-0293-1,WOS:000375678600062,NA
