"","AID","row.names","PT","CA","Z2","Z3","BS","VL","MA","BP","EP","AR","SU","PD","AK","CT","CY","SP","CL"
"1","B001","J","Abrate, S.","","Vibration of belts and belt driver, Mechanism and machine theory","Research Gate","","",NA,NA,NA,"DOI 10.1016/0094-114X(92)90064-O","November,",1992,"","","","",1
"2","B002","J","Amrollahi, A.","","A Process Model for Crowdsourcing: Insights from the Literature on Implementation","Research Gate","","",NA,NA,NA,"","",2016,"","","","",1
"3","B003","J","Ardron, J. A.; Wallace, S.","","Modelling inshore rockfish habitat in British Columbia: A pilot study","Research Gate","","",NA,NA,NA,"","",2015,"","","","",1
"4","B004","J","Barua, A.; Lang, K. R.; Susarla, A.; Whinston, A B.","","","Research Gate","","",NA,NA,NA,"","",2013,"","","","",1
"5","B005","J","Belforte, P.","","","Research gate","","",NA,NA,NA,"","",2016,"","","","",1
"6","B006","J","Bukenya, F.; Kiweewa, A.; Bai, L.","","A Review of Vessel Segmentation Techniques","Research Gate","","",NA,NA,NA,"","",2017,"","","","",1
"7","B007","J","Bunting, P. J.; Armston, J.; Lucas, R.; Clewley, D.","","","Research Gate","","",NA,NA,NA,"","2 February",2015,"","","","",1
"8","B008","J","Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith","IEEE","Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges","IEEE Engineering in Medicine and Biology Society Conference Proceedings","","",1835,1838,NA,"10.1109/IEMBS.2011.6090522","2011",2011,"33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)","AUG 30-SEP 03, 2011","IEEE; Engn Med & Biol Soc (EMBS)","Boston, MA",10
"9","B009","J","Burleson, Wayne; Clark, Shane S.; Ransford, Benjamin; Fu, Kevin","","Design Challenges for Secure Implantable Medical Devices","Research gate","","",NA,NA,NA,"","January",2012,"","","","",1
"10","B010","J","Celebi, M. Emre; Kingravia, Hassan A.; Aslandogan, Y. Alp; Stoecker, William V.","","Detection of Blue-White Veil Areas in Dermoscopy Images Using Machine Learning Techniques","Research Gate","","",NA,NA,NA,"","",2006,"","","","",1
"11","B011","J","Cheunta, Weerasak; Chirdchoo, Nitthita; Saelim, Kanittha","","Efficiency Improvement of an Integrated Giant Freshwater-White Prawn Farming in Thailand Using a Wireless Sensor Network","Research Gate","","",NA,NA,NA,"","DECEMBER",2014,"","","","",1
"12","B012","J","Chiad, Sami Salman; Habubi, Nadir Fadhil; Khaleel, Reem Saadi; Abdul Hussein, Obaida Amer","","","Research Gate","","",515,515,NA,"","",2010,"","","","",1
"13","B013","J","Cosgrove, M.; Rhodes, B.; Scott, J.","","Ultra-low-cost Logging Anemometer for Wind Power Generation Feasibility Surveys","Research Gate","","",NA,NA,NA,"","January",2007,"","","","",1
"14","B014","J","Dai, X.; Zhao, Y.; Li, M.; Fang, X.; Li, X.; Li, H.; Xu, B.","","","Research Gate","4","",1557,1565,NA,"","",2013,"","","","",1
"15","B015","J","Das, P. C.; Chatterjee, P.; Kumar, P.; Kumar, G.; Dey, A. B.","","Prevalence and predictors of geriatric syndromes in an outpatient clinic at a tertiary care hospital of India","Research Gate","2","1",117,120,NA,"","",2012,"","","","",1
"16","B016","J","Datcu, Dragos","","Emotion recognition using brain activity","research gate","","",NA,NA,NA,"","",2008,"","","","",1
"17","B017","J","Diels, C.; Bos, J. E.","","Self-driving carsickness","Research Gate","","",1,15,NA,"","Oct.",2015,"","","","",1
"18","B018","J","Elliott, D; Smith, D","","Football stadia disasters in the United Kingdom: learning from tragedy?","Indust. Environ. Crisis Q.","7","",205,29,NA,"","",1993,"","","","",45
"19","B019","J","Fabiano, B.; Curro, F.; Reverberi, A. P.; Pastorino, R.","","Dangerous good transportation by road: from risk analysis to emergency planning","Research Gate","","",NA,NA,NA,"","",2005,"","","","",1
"20","B020","J","Fallahkhair, S.; Cocea, M.; Altrabsheh, N.","","Learning sentiment from students' feedback","research gate","","",44,48,NA,"","",2014,"","","","",1
"21","B021","J","Felipe, DVL","","BioDocker: an open-source and community-driven framework for software standardization","Research-Gate","","",NA,NA,NA,"","",2017,"","","","",1
"22","B022","J","Ghazali, Kamarul Hawari; Mustafa, Marzuki; Hussain, Aini","","Feature Extraction Technique using SIFT Keypoint Descriptors","Research Gate","","",740,744,NA,"","",2007,"","","","",1
"23","B023","J","Gupta, S; Jain, SK","","An application of 5S concept to organize the workplace at a scientific instruments manufacturing company","Research Gate","","",NA,NA,NA,"DOI 10.1108/IJLSS-08-2013-0047","March",2015,"","","","",1
"24","B024","J","Jakobek, L.; Seruga, M.; Novak, I.; Medvidovic-Kosanovic, M.","","","Research Gate","103","",1,1,NA,"","",2007,"","","","",1
"25","B025","J","Jesse, H.; Renee, B.; Anje, S.; Willem, C.; Ricardo, B.","","Coronary Artery Assessment by Multidectector Computed Tomography in patients with prosthetic heart valve","Research Gate","22","",1278,1286,NA,"","Nov.",2012,"","","","",1
"26","B026","J","Jovicic, J.; Zavaliangos, A.; Ko, F.","","Numerical modeling of impact behavior of integrated gradient design composite materials","Research Gate.","","",1,35,NA,"","",2015,"","","","",1
"27","B027","J","Kavitha, G.; Ramani, G.; Dhass, P. K.; Aruna, R. M.","","Oxidative stress, interleukin (IL- 6) and atherogenic index of plasma in diabetic nephropathy","Research Gate","2","",211,216,NA,"","",2011,"","","","",1
"28","B028","J","Kim, Kibum; Bolton, John; Girouard, Audrey; Cooperstock, Jeremy; Vertegaal, Roel","","Tele Human: Effects of 3D perspective on gaze and pose estimation with life-size cylindrical telepresence pod","research gate","","",NA,NA,NA,"","January",2012,"","","","",1
"29","B029","J","Kobmoo, N.","","How can we extract the hemolymph from insects, especially from small ones like ants?","Research Gate","8","",19,19,NA,"","",2012,"","","","",1
"30","B030","J","Kosnatha, S; dan Utomo, J. P.","","Komposisi dan Karakteristik Beton Geopolimer dari Fly Ash Tipe C dan Tipe F","Research Gate","","",NA,NA,NA,"","",2007,"","","","",1
"31","B031","J","Kraft, R.","","A maschine learning approach to improve precision for navigational queries in a web information retrieval system","Research Gate","","",NA,NA,NA,"","",2002,"","","","",1
"32","B032","J","Kunc, V; Frame, B; Nguyen, BN","","Fiber Length Distribution Measurement for long Glass and Carbon Fiber Reinforced Injection Molded Thermoplastics","Research Gate","","",NA,NA,NA,"","",2007,"","","","",1
"33","B033","J","Leomanni, M.","","","Research Gate","","",NA,NA,NA,"","October",2012,"","","","",1
"34","B034","J","Li, C.; Lynn Ferguson, B.","","Stress Generation in an Axle Shaft during Induction Hardening","Research Gate","14","",1196,1196,NA,"","",2014,"","","","",1
"35","B035","J","Lin, D.","","An information-theoretic definition of similarity","Research Gate","1","",NA,NA,NA,"","",1998,"","","","",1
"36","B036","J","Ljuhar, R.; Norman, B.; Ljuhar, D.; Dimaj, H. P.","","A novel feature selection algorithm based on bone micro architecture analysis to identify osteoarthritis","Research Gate","","",NA,NA,NA,"","April",2016,"","","","",1
"37","B037","J","Mao, K.","","Gear tooth contact analysis and the Application in the reduction of fatigue wear","Research Gate","","",NA,NA,NA,"","",2007,"","","","",1
"38","B038","J","Martinez, J.; Perez-Meana, H.; Escamilla, E.; Suzuki, M. M.","","Speaker recognition using Mel Frequency Cepstral Coefficients (MFCC) and Vector quantization (VQ) techniques","Research Gate","","",NA,NA,NA,"DOI 10.1109/CONIELECOMP.2012.618991.8","",2012,"","","","",1
"39","B039","J","Masarati, P.; Morandini, M.; Riemenschneider, J.; Wierach, P.; Gluhih, S.; Barkanov, E.","","Optimal design active twist 1:2.5 scale rotor blade","Research Gate","","",4,7,NA,"","",2004,"","","","",1
"40","B040","J","Matsuda, J.; Maeda, T.; Abe, Y.; Nakamura, S.; Ohmiya, K","","Using the thermophilic aerobic processto decompose industrial food wastes","Research Gate","","",417,426,NA,"","",1998,"","","","",1
"41","B041","J","Mirghani, HO; Elbadawi, AS","","Are diabetes mellitus, restless syndrome, and fibromyalgia related?","Research Gate","5","",208,215,NA,"","",2016,"","","","",1
"42","B042","J","Mirjalili, Seyedali; Mirjalili, Seyed Mohammad; Lewis, Andrew","","Let a Biogeography-Based Optimizer Train Your Multi-Layer Perceptron","Research Gate","","",188,209,NA,"","",2014,"","","","",1
"43","B043","J","Mishra, A. K.; Yadava, R.; Mishra, A.; Verma, A.","","","Research Gate","2","",NA,NA,974,"","",2010,"","","","",1
"44","B044","J","Mizuno, K; Fukai, I; Murata, T; Goto, T.","","Pulmonary pleomorphic carcinoma","Research Gate","65","",863,66,NA,"","",2006,"","","","",1
"45","B045","J","Muhs, D.R.; Prospero, J.M.; Baddock, M.C.; Gill, T.E.","","Identifying sources of Aeolian mineral dust: present and past. Mineral dust- a key player in the earth system","Research Gate","","",NA,NA,NA,"","",2014,"","","","",2
"46","B046","J","Myklestad","","A new method of calculating natural modes of uncoupled bending vibration of airplane wings","Research Gate","3","",20,30,NA,"","",2014,"","","","",1
"47","B047","J","Nguyen, Vu Dung; Vaghese, Blesson","","Royal Birth of 2013: Analysing and Visualising Public Sentiment in the UK using Twitter","Research Gate","","",NA,NA,NA,"","",2013,"","","","",1
"48","B048","J","Nikolic, D.; Kovacev-Nikolic, V.","","Dynamical model of the maltose-binding protein","Research Gate","","",NA,NA,NA,"10.13140/2.1.3269.8883","",2013,"","","","",1
"49","B049","J","Njuguna, J.; Pielichowski, K.","","The role of advanced polymer materials in aerospace","Research Gate","","",1,48,NA,"","",2013,"","","","",1
"50","B050","J","Oktug, Sema F.","","Localization Techniques for Underwater Acoustic Sensor Networks","Research gate","","",NA,NA,NA,"","",2011,"","","","",1
"51","B051","J","Oliveira, LS; Franca, AS","","An overview of the potential uses for coffee husks","Coffee in health and disease prevention","31","",283,291,NA,"","",2015,"","","","",3
"52","B052","J","Payne, H. J.","","Models of Freeway Traffic and Control","Research Gate","28","",51,61,NA,"","Jan.",1971,"","","","",1
"53","B053","J","Pendrel, J.; Debeye, H.; Pedersen-Tatalovic, R.; Goodway, B.; Dufour, J.; Bogaards, M","","Estimation and interpretation of P and S impedance volumes from simultaneous inversion of","Research Gate.","","",NA,NA,NA,"","",1999,"","","","",1
"54","B054","J","Perez, L; Bequer, L; Gomez, T; Gonzalez, O; Heredia, D; Molina, O","","Actividad de la gamma glutamil transferasa serica: distribucion estadistica, variaciones segun edad y sexo e intervalos de referencia en villa clara","Research-Gate","3","",122,143,NA,"","",2013,"","","","",1
"55","B055","J","Pokrovsky, O. S.","","Full data set of major and trace element concentration in snow water (0.45 &mu;m) and snow parcticles sampled across the latitudinal profile of Western Siberia Lowland","Research Gate","","",NA,NA,NA,"","",2016,"","","","",1
"56","B056","J","Porwik, Piotr; Lisowska, Agnieszka","","The Haar-wavelet transform in digital image processing: its status and achievements","Research gate","","",NA,NA,NA,"","",NA,"","","","",1
"57","B057","J","Pramono, YH; Geshiro, M; Kitamura, T; Sawa, S","","Optical logic OR-AND-NOT and NOR gates in waveguides consisting of nonlinear material","IEICE TRANSACTIONS ON ELECTRONICS","E83C","11",1755,1762,NA,"","NOV 2000",2000,"","","","",19
"58","B058","J","Prathapan, K. D.","","","Research Gate","","",NA,NA,NA,"10.13140/RG.2.1.2150.5761","June",2015,"","","","",1
"59","B059","J","Radwan, H.; Abdel-Rahim, O.; Ahmed, M.","","Two Stages Maximum Power Point Tracking Algorithm for PV Systems Operating under Partially Shaded Conditions","research gate","10","",683,688,NA,"","",2009,"","","","",1
"60","B060","J","Reyes, Rogelio; Cruz, Clara; Nakano, Mariko; Perez, Hector","","Video Watermarking Algorithm Resilient to MPEG-2 Compression and Collusion Attacks","Research Gate","","",1857,1870,NA,"","January",2008,"","","","",1
"61","B061","J","Roschek, T; Apolloni, M; Braga, A; Brunner, A; Caglar, O; Cashmore, JS; Cervetto, V; Fenner, Y; Gaucker, J; Hotzel, JE; Janot, R; Kalas, J; Keller, K; Krull, S; Kugler, E; Leu, G-F; Lindic, M-H; Losio, PA; Mates, T; Mereu, B; Psimoulis, I; Roth, F; Ristau, S; Salabas, A; Salabas, EL; Sinicco, I","","MICROMORPH<SUP>&TRADE;</SUP>Technology: introduction and the path to record efficiencies","Research Gate","","",NA,NA,NA,"10.13140/RG.2.1.1628.8804","",2015,"","","","",1
"62","B062","J","Santos, FC; Brojo, F; Vilarinho, PM","","Lot sizing and scheduling in parallel uniform machines-a case study","Research Gate","","",NA,NA,NA,"","",2012,"","","","",1
"63","B063","J","Schallert, T; Woodlee, MT; Fleming, SM","","Disentangling multiple types of recovery from brain injury","Research Gate","","",201,216,NA,"","",2000,"","","","",1
"64","B064","J","Schmidt, M.; Aschwanden, J.; Liechti, F.; Nemeth, E.; Probst, R.; Rossler, M.; Schauer, C.; Denner, M.; Wichmann, G.","","V.i.A - Vogelzug im Alpenraum","Research Gate","","",NA,NA,NA,"DOI 10.13140/RG.2.2.19922.96963","",2016,"","","","",1
"65","B065","J","Schwarz, I G; Kovacevic, S; Kos, I.","","Physical-mechanical properties of automotive textile materials","Research Gate","","",11,11,NA,"","",2015,"","","","",1
"66","B066","J","Shafique, N. A.; Fulk, F.; Autrey, B. C.; Flotemersch, J.","","Hyperspectral remote sensing of water quality parameters for large rivers in the Ohio River basin","Research Gate.","","",216,221,NA,"","",2003,"","","","",5
"67","B067","J","de Vos, P. J. Sicco","","","Research Gate","","",NA,NA,NA,"","",2015,"","","","",1
"68","B068","J","Simitsis, A.; Vassiliadis, P.","","A methodology for the conceptual modeling of etl processes","research gate","","",NA,NA,NA,"","",2014,"","","","",1
"69","B069","J","Singh, V. P.; Chowdhury, P. K","","On Fitting Gamma Distrubution to Synthetic Runoff Hydrographs","Research Gate","l6","",NA,NA,NA,"","",1985,"","","","",1
"70","B070","J","Sirjani, Reza; Mohamed, Azah; Shareef, Hussain","","Heuristic Optimization Techniques to Determine Optimal Capacitor Placement and Sizing in Radial Distribution Networks: A Comprehensive Review","PRZEGLAD ELEKTROTECHNICZNY","88","7A",1,7,NA,"","2012",2012,"","","","",15
"71","B071","J","Stark, G.","","Three Killer Graphics","Research Gate","","",NA,NA,NA,"","",2014,"","","","",1
"72","B072","J","Steenbruggen, J.; Borzacchiello, M.T.; Nijkamp, P.; Scholten, H","","Real-Time Data from Mobile Phone Networks for Urban Incidence and Traffic Management-A Review of Applications and Opportunities","Research Gate","","",NA,NA,NA,"","",NA,"","","","",1
"73","B073","J","Stone, C. P.; Omnes, P.; Rezende, R. V. P.; Grimm-Strele, H; Bensow, R. E.","","","Research Gate","","",NA,NA,NA,"","",2015,"","","","",1
"74","B074","J","Sun, W.","","computer aided Lung Cancer Diagnosis with Deep Learning Algorithms","Research gate","","",NA,NA,NA,"","",2016,"","","","",1
"75","B075","J","Tripathia, R. M.; Shrivastava, A.; Kumar, N.; Bhadwaib, A. S.; Kumar, R.; Guptab, R. P.; Shrivastavad, B. R.","","","Research Gate","","",NA,NA,NA,"","",NA,"","","","",1
"76","B076","J","Trotteyn, M. J.","","Nuevas evidencias del desarrollo del floculo en el cerebelo de arcosauriformes: variabilidad e implicancias paleobiologicas","Research Gate","","",NA,NA,NA,"","",2015,"","","","",1
"77","B077","J","Tsaknaki, V; Fernaeus, Y; Schaub, M","","Leather as a material for crafting interactive and physical artifacts","Research Gate","05","",5,14,NA,"","",2014,"","","","",1
"78","B078","J","Tschinkel, Brian; Esantsi, Bernard; Iacovelli, Dominick; Nagesar, Padma; Walz, Richard; Monaco, Vinnie; Bakelman, Ned","","Keylogger Keystroke Biometric System","Research Gate.","","",NA,NA,NA,"","",2017,"","","","",1
"79","B079","J","Ukani, Vijay S.","","Testing Video Transmission in NS-2 Using The Evalvid Framework","Research Gate","","",NA,NA,NA,"","July",2015,"","","","",2
"80","B080","J","Vahedi, Hani; Al-Haddad, Kamal; Ounejjar, Youssef","","Crossover Switches Cell (CSC): A New Multilevel Inverter Topology with Maximum Voltage Levels and Minimum DC Sources","Research Gate","","",NA,NA,NA,"","",NA,"","","","",1
"81","B081","J","van der Weijde, A. H.; Hobbs, B. F.","","Planning electricity transmission to accommodate renewables: Using two-stage programming to evaluate flexibility and the cost of disregarding uncertainty","Research Gate","34","6",NA,NA,NA,"","Nov.",2012,"","","","",1
"82","B082","J","Vojvodic, Svetlana; Popovic, Stevan; Macukanovic-Golubovic, Lana","","[Implications of HLA linkage disequilibrium phenomenon in finding unrelated volunteer bone marrow donors].","Medicinski pregled","60","3-4",178,82,NA,"","2007 Mar-Apr",2007,"","","","",1
"83","B083","J","Woodward, E.; Jagdev, S.; McParland, L.; Clark, K.; Gregory, W.; Newsham, A.","","Skeletal complications and survival in renal cancer patients with bone metastases","Research Gate","48","1",1606,1606,NA,"","",2011,"","","","",1
"84","B084","J","Yildirim, Ahmet A; OZdogan, Cem; Watson, Dan","","Parallel Data Reduction Techniques for Big Data sets","Research gate","","",NA,NA,NA,"","",2016,"","","","",1
"85","B085","J","Yoon, Byung-jun","","HMM with auxiliary memory: Anew tool for modelling RNA secondary structures","Research Gate","","",NA,NA,NA,"","",2015,"","","","",1
"86","B086","J","Zhang, G.; Wang, G.; Farhangi, H.; Palizban, A.","","Short-Term Load Forecasting of Active and Reactive Powers in Small Scales using LASSO-Integrated Nonlinear Autoregressive Neural Networks","Research Gate","1","",5,5,NA,"","october",2016,"","","","",1
"87","B087","J","Zhang, J.; Chua, H. C.; Zhou, J.; Fane, A. G.","","","research gate","","",54,66,NA,"","",NA,"","","","",1
"88","B088","J","[Anonymous]","","A surey towards understanding residential prosumers in smart grid neighbouhoods","Research Gate","","",NA,NA,NA,"","",2012,"","","","",1
